noise_rate,pattern_index,trial_index,trial_seed,initial_hamming_distance,final_hamming_distance,exact_recall,converged,sweeps
0.1,0,0,1011982,10,0,True,True,2
0.1,0,1,1011983,10,0,True,True,2
0.1,0,2,1011984,10,0,True,True,2
0.1,0,3,1011985,10,0,True,True,2
0.1,0,4,1011986,10,0,True,True,2
0.1,0,5,1011987,10,0,True,True,2
0.1,0,6,1011988,10,0,True,True,2
0.1,0,7,1011989,10,0,True,True,2
0.1,0,8,1011990,10,0,True,True,2
0.1,0,9,1011991,10,0,True,True,2
0.1,0,10,1011992,10,0,True,True,2
0.1,0,11,1011993,10,0,True,True,2
0.1,0,12,1011994,10,0,True,True,2
0.1,0,13,1011995,10,0,True,True,2
0.1,0,14,1011996,10,0,True,True,2
0.1,0,15,1011997,10,0,True,True,2
0.1,0,16,1011998,10,0,True,True,2
0.1,0,17,1011999,10,0,True,True,2
0.1,0,18,1012000,10,0,True,True,2
0.1,0,19,1012001,10,0,True,True,2
0.1,1,0,1021982,10,0,True,True,2
0.1,1,1,1021983,10,0,True,True,2
0.1,1,2,1021984,10,0,True,True,2
0.1,1,3,1021985,10,0,True,True,2
0.1,1,4,1021986,10,0,True,True,2
0.1,1,5,1021987,10,0,True,True,2
0.1,1,6,1021988,10,0,True,True,2
0.1,1,7,1021989,10,0,True,True,2
0.1,1,8,1021990,10,0,True,True,2
0.1,1,9,1021991,10,0,True,True,2
0.1,1,10,1021992,10,0,True,True,2
0.1,1,11,1021993,10,0,True,True,2
0.1,1,12,1021994,10,0,True,True,2
0.1,1,13,1021995,10,0,True,True,2
0.1,1,14,1021996,10,0,True,True,2
0.1,1,15,1021997,10,0,True,True,2
0.1,1,16,1021998,10,0,True,True,2
0.1,1,17,1021999,10,0,True,True,2
0.1,1,18,1022000,10,0,True,True,2
0.1,1,19,1022001,10,0,True,True,2
0.1,2,0,1031982,10,0,True,True,2
0.1,2,1,1031983,10,0,True,True,2
0.1,2,2,1031984,10,0,True,True,2
0.1,2,3,1031985,10,0,True,True,2
0.1,2,4,1031986,10,0,True,True,2
0.1,2,5,1031987,10,0,True,True,2
0.1,2,6,1031988,10,0,True,True,2
0.1,2,7,1031989,10,0,True,True,2
0.1,2,8,1031990,10,0,True,True,2
0.1,2,9,1031991,10,0,True,True,2
0.1,2,10,1031992,10,0,True,True,2
