P,load,noise_rate,trials,exact_recall_count,exact_recall_rate,wrong_stored_count,wrong_stored_rate,nonstored_converged_count,nonstored_converged_rate,nonconverged_count,nonconverged_rate,mean_final_hamming_to_target,mean_nearest_stored_hamming,mean_sweeps,seed_exact_recall_rates
5,0.05,0.1,60,60,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,2.0,"{""1982"": 1.0, ""1983"": 1.0, ""1984"": 1.0}"
5,0.05,0.2,60,60,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,2.0,"{""1982"": 1.0, ""1983"": 1.0, ""1984"": 1.0}"
5,0.05,0.3,60,58,0.9666666666666667,0,0.0,2,0.03333333333333333,0,0.0,0.7833333333333333,0.7833333333333333,2.15,"{""1982"": 1.0, ""1983"": 0.9, ""1984"": 1.0}"
5,0.05,0.4,60,26,0.43333333333333335,3,0.05,31,0.5166666666666667,0,0.0,17.9,13.666666666666666,2.7333333333333334,"{""1982"": 0.6, ""1983"": 0.3, ""1984"": 0.4}"
10,0.1,0.1,60,55,0.9166666666666666,0,0.0,5,0.08333333333333333,0,0.0,0.5666666666666667,0.5666666666666667,2.3,"{""1982"": 0.75, ""1983"": 1.0, ""1984"": 1.0}"
10,0.1,0.2,60,51,0.85,0,0.0,9,0.15,0,0.0,1.9166666666666667,1.8,2.683333333333333,"{""1982"": 0.6, ""1983"": 0.95, ""1984"": 1.0}"
10,0.1,0.3,60,36,0.6,1,0.016666666666666666,23,0.38333333333333336,0,0.0,8.966666666666667,6.0,3.966666666666667,"{""1982"": 0.35, ""1983"": 0.75, ""1984"": 0.7}"
10,0.1,0.4,60,5,0.08333333333333333,4,0.06666666666666667,51,0.85,0,0.0,35.1,18.0,5.45,"{""1982"": 0.0, ""1983"": 0.05, ""1984"": 0.2}"
15,0.15,0.1,60,34,0.5666666666666667,0,0.0,26,0.43333333333333335,0,0.0,4.95,4.733333333333333,3.4166666666666665,"{""1982"": 0.5, ""1983"": 0.5, ""1984"": 0.7}"
15,0.15,0.2,60,23,0.38333333333333336,0,0.0,37,0.6166666666666667,0,0.0,9.733333333333333,8.55,4.45,"{""1982"": 0.35, ""1983"": 0.25, ""1984"": 0.55}"
15,0.15,0.3,60,10,0.16666666666666666,0,0.0,50,0.8333333333333334,0,0.0,19.55,15.466666666666667,5.75,"{""1982"": 0.05, ""1983"": 0.15, ""1984"": 0.3}"
15,0.15,0.4,60,1,0.016666666666666666,0,0.0,59,0.9833333333333333,0,0.0,38.833333333333336,22.616666666666667,6.15,"{""1982"": 0.0, ""1983"": 0.05, ""1984"": 0.0}"
20,0.2,0.1,60,16,0.26666666666666666,0,0.0,44,0.7333333333333333,0,0.0,12.7,11.216666666666667,4.85,"{""1982"": 0.1, ""1983"": 0.35, ""1984"": 0.35}"
20,0.2,0.2,60,7,0.11666666666666667,0,0.0,53,0.8833333333333333,0,0.0,21.483333333333334,15.833333333333334,6.466666666666667,"{""1982"": 0.15, ""1983"": 0.15, ""1984"": 0.05}"
20,0.2,0.3,60,0,0.0,0,0.0,60,1.0,0,0.0,31.95,21.433333333333334,6.533333333333333,"{""1982"": 0.0, ""1983"": 0.0, ""1984"": 0.0}"
20,0.2,0.4,60,0,0.0,0,0.0,60,1.0,0,0.0,41.71666666666667,23.483333333333334,6.75,"{""1982"": 0.0, ""1983"": 0.0, ""1984"": 0.0}"
