pattern_seed,a_idx,b_idx,pair_hamming,cue_idx,cue_hamming_to_a,cue_hamming_to_b,balanced,A_EXACT,B_EXACT,OTHER_STORED,NONSTORED_CONVERGED,NONCONVERGED,BIDIRECTIONAL
1982,0,1,54,0,27,27,True,2,11,0,7,0,True
1982,0,1,54,1,27,27,True,1,3,0,16,0,True
1982,0,1,54,2,27,27,True,0,2,0,18,0,False
1982,0,1,54,3,27,27,True,6,7,0,7,0,True
1982,0,1,54,4,27,27,True,4,5,0,11,0,True
1982,0,1,54,5,27,27,True,0,2,0,18,0,False
1982,0,1,54,6,27,27,True,0,1,0,19,0,False
1982,0,1,54,7,27,27,True,3,4,0,13,0,True
1982,0,1,54,8,27,27,True,2,3,0,15,0,True
1982,0,1,54,9,27,27,True,3,1,0,16,0,True
1982,0,2,48,0,24,24,True,3,8,0,9,0,True
1982,0,2,48,1,24,24,True,4,12,0,4,0,True
1982,0,2,48,2,24,24,True,10,7,0,3,0,True
1982,0,2,48,3,24,24,True,7,7,0,6,0,True
1982,0,2,48,4,24,24,True,9,10,0,1,0,True
1982,0,2,48,5,24,24,True,8,8,0,4,0,True
1982,0,2,48,6,24,24,True,7,11,0,2,0,True
1982,0,2,48,7,24,24,True,3,8,0,9,0,True
1982,0,2,48,8,24,24,True,1,8,0,11,0,True
1982,0,2,48,9,24,24,True,3,10,0,7,0,True
1982,0,3,54,0,27,27,True,9,3,0,8,0,True
1982,0,3,54,1,27,27,True,10,4,0,6,0,True
1982,0,3,54,2,27,27,True,3,8,0,9,0,True
1982,0,3,54,3,27,27,True,6,7,0,7,0,True
1982,0,3,54,4,27,27,True,5,4,0,11,0,True
1982,0,3,54,5,27,27,True,2,6,0,12,0,True
1982,0,3,54,6,27,27,True,3,7,0,10,0,True
1982,0,3,54,7,27,27,True,8,7,0,5,0,True
1982,0,3,54,8,27,27,True,0,2,0,18,0,False
1982,0,3,54,9,27,27,True,5,4,0,11,0,True
1982,0,4,54,0,27,27,True,2,4,0,14,0,True
1982,0,4,54,1,27,27,True,2,0,0,18,0,False
1982,0,4,54,2,27,27,True,3,4,0,13,0,True
1982,0,4,54,3,27,27,True,1,2,0,17,0,True
1982,0,4,54,4,27,27,True,1,1,0,18,0,True
1982,0,4,54,5,27,27,True,2,0,0,18,0,False
1982,0,4,54,6,27,27,True,2,0,0,18,0,False
1982,0,4,54,7,27,27,True,0,0,0,20,0,False
1982,0,4,54,8,27,27,True,2,0,0,18,0,False
1982,0,4,54,9,27,27,True,0,0,0,20,0,False
1982,1,2,48,0,24,24,True,8,8,0,4,0,True
1982,1,2,48,1,24,24,True,8,6,0,6,0,True
1982,1,2,48,2,24,24,True,3,3,0,14,0,True
1982,1,2,48,3,24,24,True,3,4,0,13,0,True
1982,1,2,48,4,24,24,True,7,9,0,4,0,True
1982,1,2,48,5,24,24,True,4,10,0,6,0,True
1982,1,2,48,6,24,24,True,5,8,0,7,0,True
1982,1,2,48,7,24,24,True,8,9,0,3,0,True
1982,1,2,48,8,24,24,True,5,6,0,9,0,True
1982,1,2,48,9,24,24,True,4,9,0,7,0,True
1982,1,3,46,0,23,23,True,7,4,0,9,0,True
1982,1,3,46,1,23,23,True,5,7,0,8,0,True
1982,1,3,46,2,23,23,True,6,5,0,9,0,True
1982,1,3,46,3,23,23,True,3,3,0,14,0,True
1982,1,3,46,4,23,23,True,6,7,0,7,0,True
1982,1,3,46,5,23,23,True,10,4,0,6,0,True
1982,1,3,46,6,23,23,True,8,7,0,5,0,True
1982,1,3,46,7,23,23,True,10,5,0,5,0,True
1982,1,3,46,8,23,23,True,5,9,0,6,0,True
1982,1,3,46,9,23,23,True,7,4,0,9,0,True
1982,1,4,52,0,26,26,True,1,1,0,18,0,True
1982,1,4,52,1,26,26,True,0,0,0,20,0,False
1982,1,4,52,2,26,26,True,1,0,0,19,0,False
1982,1,4,52,3,26,26,True,0,0,0,20,0,False
1982,1,4,52,4,26,26,True,2,2,0,16,0,True
1982,1,4,52,5,26,26,True,1,0,0,19,0,False
1982,1,4,52,6,26,26,True,0,0,0,20,0,False
1982,1,4,52,7,26,26,True,0,0,0,20,0,False
1982,1,4,52,8,26,26,True,0,0,0,20,0,False
1982,1,4,52,9,26,26,True,0,0,0,20,0,False
1982,2,3,56,0,28,28,True,4,7,0,9,0,True
1982,2,3,56,1,28,28,True,1,0,0,19,0,False
1982,2,3,56,2,28,28,True,0,0,0,20,0,False
1982,2,3,56,3,28,28,True,2,0,0,18,0,False
1982,2,3,56,4,28,28,True,0,0,0,20,0,False
1982,2,3,56,5,28,28,True,0,0,0,20,0,False
1982,2,3,56,6,28,28,True,0,0,0,20,0,False
1982,2,3,56,7,28,28,True,1,0,0,19,0,False
1982,2,3,56,8,28,28,True,0,0,0,20,0,False
