pattern_seed,a_idx,b_idx,pair_hamming,cue_idx,d_pair,d_other_min,margin,classification,other_distances
1982,0,1,54,0,27,47,20,PAIR_ISOLATED,47;51;49
1982,0,1,54,1,27,45,18,PAIR_ISOLATED,51;57;45
1982,0,1,54,2,27,49,22,PAIR_ISOLATED,61;61;49
1982,0,1,54,3,27,51,24,PAIR_ISOLATED,53;51;53
1982,0,1,54,4,27,49,22,PAIR_ISOLATED,55;53;49
1982,0,1,54,5,27,47,20,PAIR_ISOLATED,49;57;47
1982,0,1,54,6,27,49,22,PAIR_ISOLATED,49;61;53
1982,0,1,54,7,27,43,16,PAIR_ISOLATED,43;55;47
1982,0,1,54,8,27,45,18,PAIR_ISOLATED,47;55;45
1982,0,1,54,9,27,49,22,PAIR_ISOLATED,49;55;49
1982,0,2,56,0,28,46,18,PAIR_ISOLATED,46;48;46
1982,0,2,56,1,28,52,24,PAIR_ISOLATED,54;52;56
1982,0,2,56,2,28,48,20,PAIR_ISOLATED,50;50;48
1982,0,2,56,3,28,46,18,PAIR_ISOLATED,46;52;54
1982,0,2,56,4,28,52,24,PAIR_ISOLATED,58;52;52
1982,0,2,56,5,28,44,16,PAIR_ISOLATED,44;54;48
1982,0,2,56,6,28,44,16,PAIR_ISOLATED,54;48;44
1982,0,2,56,7,28,48,20,PAIR_ISOLATED,48;54;48
1982,0,2,56,8,28,52,24,PAIR_ISOLATED,56;52;52
1982,0,2,56,9,28,52,24,PAIR_ISOLATED,52;52;52
1982,0,3,56,0,28,46,18,PAIR_ISOLATED,52;52;46
1982,0,3,56,1,28,46,18,PAIR_ISOLATED,56;48;46
1982,0,3,56,2,28,46,18,PAIR_ISOLATED,52;46;52
1982,0,3,56,3,28,48,20,PAIR_ISOLATED,56;48;50
1982,0,3,56,4,28,48,20,PAIR_ISOLATED,48;52;48
1982,0,3,56,5,28,52,24,PAIR_ISOLATED,54;52;58
1982,0,3,56,6,28,50,22,PAIR_ISOLATED,62;50;50
1982,0,3,56,7,28,52,24,PAIR_ISOLATED,52;52;52
1982,0,3,56,8,28,52,24,PAIR_ISOLATED,52;60;54
1982,0,3,56,9,28,52,24,PAIR_ISOLATED,58;52;60
1982,0,4,50,0,25,51,26,PAIR_ISOLATED,55;53;51
1982,0,4,50,1,25,45,20,PAIR_ISOLATED,57;45;57
1982,0,4,50,2,25,49,24,PAIR_ISOLATED,49;55;63
1982,0,4,50,3,25,53,28,PAIR_ISOLATED,53;55;55
1982,0,4,50,4,25,49,24,PAIR_ISOLATED,49;57;57
1982,0,4,50,5,25,49,24,PAIR_ISOLATED,55;49;49
1982,0,4,50,6,25,47,22,PAIR_ISOLATED,47;53;57
1982,0,4,50,7,25,49,24,PAIR_ISOLATED,49;51;57
1982,0,4,50,8,25,49,24,PAIR_ISOLATED,53;49;57
1982,0,4,50,9,25,47,22,PAIR_ISOLATED,51;47;53
1982,1,2,48,0,24,50,26,PAIR_ISOLATED,52;52;50
1982,1,2,48,1,24,50,26,PAIR_ISOLATED,56;50;52
1982,1,2,48,2,24,48,24,PAIR_ISOLATED,58;52;48
1982,1,2,48,3,24,44,20,PAIR_ISOLATED,62;46;44
1982,1,2,48,4,24,48,24,PAIR_ISOLATED,52;48;50
