state,dA,dB,dC,initial_fixed,r1,r2,r3,r4,r5,r6,distinct_final_count
------,3,3,1,0,C:2,C:2,C:2,C:2,C:2,C:2,1
-----+,4,2,2,0,B:2,B:2,B:2,C:2,C:2,C:2,2
----+-,4,4,0,1,C:1,C:1,C:1,C:1,C:1,C:1,1
----++,5,3,1,0,-A:2,C:2,C:2,C:2,C:2,C:2,2
---+--,2,4,2,0,A:2,A:2,A:2,C:2,-B:2,A:2,3
---+-+,3,3,3,0,-C:2,A:2,B:2,C:2,-B:2,A:2,5
---++-,3,5,1,0,-B:2,-B:2,C:2,C:2,-B:2,-B:2,2
---+++,4,4,2,0,-A:2,-B:2,C:2,C:2,-B:2,-B:2,3
--+---,2,2,2,0,B:2,A:2,C:2,A:2,C:2,B:2,3
--+--+,3,1,3,0,B:2,B:2,B:2,B:2,B:2,B:2,1
--+-+-,3,3,1,0,C:2,C:2,C:2,C:2,C:2,C:2,1
--+-++,4,2,2,0,-A:2,C:2,C:2,B:2,B:2,C:2,3
--++--,1,3,3,0,A:2,A:2,A:2,A:2,A:2,A:2,1
--++-+,2,2,4,0,-C:2,A:2,B:2,B:2,A:2,A:2,3
--+++-,2,4,2,0,-B:2,-B:2,C:2,C:2,A:2,-B:2,3
--++++,3,3,3,0,-C:2,-B:2,C:2,B:2,A:2,-B:2,5
-+----,2,4,2,0,C:2,C:2,A:2,-B:2,C:2,C:2,3
-+---+,3,3,3,0,B:2,B:2,A:2,-B:2,C:2,C:2,4
-+--+-,3,5,1,0,C:2,C:2,-B:2,-B:2,C:2,C:2,2
-+--++,4,4,2,0,-A:2,C:2,-B:2,-B:2,C:2,C:2,3
-+-+--,1,5,3,0,A:2,A:2,A:2,-B:2,-B:2,A:2,2
-+-+-+,2,4,4,0,-C:2,A:2,A:2,-B:2,-B:2,A:2,3
-+-++-,2,6,2,1,-B:1,-B:1,-B:1,-B:1,-B:1,-B:1,1
-+-+++,3,5,3,0,-B:2,-B:2,-B:2,-B:2,-B:2,-B:2,1
-++---,1,3,3,0,A:2,A:2,A:2,A:2,A:2,A:2,1
-++--+,2,2,4,0,B:2,B:2,A:2,A:2,A:2,A:2,2
-++-+-,2,4,2,0,C:2,C:2,-B:2,A:2,A:2,C:2,3
-++-++,3,3,3,0,-A:2,C:2,-B:2,A:2,A:2,C:2,4
-+++--,0,4,4,1,A:1,A:1,A:1,A:1,A:1,A:1,1
-+++-+,1,3,5,0,-C:2,A:2,A:2,A:2,A:2,A:2,2
-++++-,1,5,3,0,-B:2,-B:2,-B:2,A:2,A:2,-B:2,2
-+++++,2,4,4,0,-C:2,-B:2,-B:2,A:2,A:2,-B:2,3
+-----,4,2,2,0,C:2,B:2,B:2,-A:2,-A:2,B:2,3
+----+,5,1,3,0,B:2,B:2,B:2,-A:2,-A:2,B:2,2
+---+-,5,3,1,0,C:2,-A:2,-A:2,-A:2,-A:2,-A:2,2
+---++,6,2,2,1,-A:1,-A:1,-A:1,-A:1,-A:1,-A:1,1
+--+--,3,3,3,0,A:2,-C:2,B:2,-A:2,-A:2,-C:2,4
+--+-+,4,2,4,0,-C:2,-C:2,B:2,-A:2,-A:2,-C:2,3
+--++-,4,4,2,0,-B:2,-B:2,-A:2,-A:2,-A:2,-A:2,2
+--+++,5,3,3,0,-A:2,-A:2,-A:2,-A:2,-A:2,-A:2,1
+-+---,3,1,3,0,B:2,B:2,B:2,B:2,B:2,B:2,1
+-+--+,4,0,4,1,B:1,B:1,B:1,B:1,B:1,B:1,1
+-+-+-,4,2,2,0,C:2,-A:2,-A:2,B:2,B:2,-A:2,3
+-+-++,5,1,3,0,-A:2,-A:2,-A:2,B:2,B:2,-A:2,2
+-++--,2,2,4,0,A:2,-C:2,B:2,B:2,-C:2,-C:2,3
+-++-+,3,1,5,0,-C:2,-C:2,B:2,B:2,-C:2,-C:2,2
+-+++-,3,3,3,0,-B:2,-B:2,-A:2,B:2,-C:2,-C:2,4
+-++++,4,2,4,0,-C:2,-C:2,-A:2,B:2,-C:2,-C:2,3
++----,3,3,3,0,C:2,B:2,-C:2,-B:2,-A:2,B:2,5
++---+,4,2,4,0,B:2,B:2,-C:2,-C:2,-A:2,B:2,3
++--+-,4,4,2,0,C:2,-A:2,-B:2,-B:2,-A:2,-A:2,3
++--++,5,3,3,0,-A:2,-A:2,-A:2,-A:2,-A:2,-A:2,1
++-+--,2,4,4,0,A:2,-C:2,-C:2,-B:2,-B:2,-C:2,3
++-+-+,3,3,5,0,-C:2,-C:2,-C:2,-C:2,-C:2,-C:2,1
++-++-,3,5,3,0,-B:2,-B:2,-B:2,-B:2,-B:2,-B:2,1
++-+++,4,4,4,0,-B:2,-A:2,-C:2,-A:2,-C:2,-B:2,3
+++---,2,2,4,0,A:2,B:2,-C:2,-C:2,B:2,B:2,3
+++--+,3,1,5,0,B:2,B:2,-C:2,-C:2,B:2,B:2,2
+++-+-,3,3,3,0,C:2,-A:2,-B:2,-C:2,B:2,-A:2,5
+++-++,4,2,4,0,-A:2,-A:2,-A:2,-C:2,B:2,-A:2,3
++++--,1,3,5,0,A:2,-C:2,-C:2,-C:2,-C:2,-C:2,2
++++-+,2,2,6,1,-C:1,-C:1,-C:1,-C:1,-C:1,-C:1,1
+++++-,2,4,4,0,-B:2,-B:2,-B:2,-C:2,-C:2,-C:2,2
++++++,3,3,5,0,-C:2,-C:2,-C:2,-C:2,-C:2,-C:2,1
